"screen","title","element","asset","sourceAsset","text","x","yTop","width","height","yScene2D","z","hitX","hitY","hitWidth","hitHeight","target"
"workshop","냥이들의 대장간","cat-warrior-35","assets/placed/3a175e72662caa384b.png","assets/characters/cat-warrior.png","","65","650","265","275","995","38","","","","",""
"workshop","냥이들의 대장간","shadow-cat-tank-36","assets/placed/19dc4d470b32ec7ffd.png","assets/ui/ground-shadow.png","","781","908","196","31","981","39","","","","",""
"workshop","냥이들의 대장간","cat-tank-36","assets/placed/ff75e42f3bad8d3a5b.png","assets/characters/cat-tank.png","","747","650","265","275","995","40","","","","",""
"workshop","냥이들의 대장간","button-cream-normal-37","assets/placed/dc8a73ebfcd6baa962.png","assets/ui/button-cream-normal.png","","43","342","190","88","1490","41","43","342","190","88","mail"
"workshop","냥이들의 대장간","mail-38","assets/placed/1e002595d028910137.png","assets/icons/mail.png","","62","352","54","54","1514","42","","","","",""
"workshop","냥이들의 대장간","label-39","assets/text/0815a0ee78348c0d28.png","","우편함","124","354","92","52","1514","43","","","","",""
"workshop","냥이들의 대장간","button-mint-normal-40","assets/placed/d5ff82ebde53efbac1.png","assets/ui/button-mint-normal.png","","846","342","190","88","1490","44","846","342","190","88","events"
"workshop","냥이들의 대장간","flag-41","assets/placed/4aa0077dac1b15812d.png","assets/icons/flag.png","","867","350","54","54","1516","45","","","","",""
"workshop","냥이들의 대장간","label-42","assets/text/3c6f975a97679ec8ef.png","","이벤트","925","353","92","52","1515","46","","","","",""
"workshop","냥이들의 대장간","button-cream-normal-43","assets/placed/dc8a73ebfcd6baa962.png","assets/ui/button-cream-normal.png","","846","455","190","88","1377","47","846","455","190","88","codex"
"workshop","냥이들의 대장간","book-44","assets/placed/cb5557ef0a1f40e3b2.png","assets/icons/book.png","","880","464","54","54","1402","48","","","","",""
"workshop","냥이들의 대장간","label-45","assets/text/3a930f9651fbb5e032.png","","도감","927","467","92","52","1401","49","","","","",""
"workshop","냥이들의 대장간","panel-mint-46","assets/placed/4152f8d18878a30ed3.png","assets/ui/panel-mint.png","","45","948","990","183","789","50","","","","",""
"workshop","냥이들의 대장간","chest-47","assets/placed/fb900a9f2c1c8908e9.png","assets/icons/chest.png","","66","970","150","142","808","51","","","","",""
"workshop","냥이들의 대장간","label-48","assets/text/5407d5914974480075.png","","방치 보상이 도착했어요","239","978","715","58","884","52","","","","",""
"workshop","냥이들의 대장간","label-49","assets/text/b1b4b6196e45fb62b1.png","","03:25 / 최대 08:00","243","1040","510","47","833","53","","","","",""
"workshop","냥이들의 대장간","button-yellow-normal-50","assets/placed/ca2ab2ebd8dd49484a.png","assets/ui/button-yellow-normal.png","","791","1021","212","86","813","54","791","1021","212","86","offline"
"workshop","냥이들의 대장간","label-51","assets/text/327ab3f811a2777543.png","","받기","810","1033","176","52","835","55","","","","",""
"workshop","냥이들의 대장간","panel-cream-52","assets/placed/0f754da57e2ac381be.png","assets/ui/panel-cream.png","","45","1157","990","226","537","56","","","","",""
"workshop","냥이들의 대장간","label-53","assets/text/0c5796a72ac52ebf66.png","","공방 Lv.12","82","1188","870","63","669","57","","","","",""
"workshop","냥이들의 대장간","progress-track-54","assets/placed/95fc71441bef8abed9.png","assets/ui/progress-track.png","","84","1264","912","43","613","58","","","","",""
"workshop","냥이들의 대장간","progress-mint-55","assets/placed/ffbb1cb8b1ea229a32.png","assets/ui/progress-mint.png","","92","1271","287","29","620","59","","","","",""
"workshop","냥이들의 대장간","label-56","assets/text/063ca79ea7b60fbdac.png","","320 / 1,000","85","1265","912","40","615","60","","","","",""
"workshop","냥이들의 대장간","label-57","assets/text/29ef5e0569306d5a72.png","","더 좋은 장비를 만드는 따뜻한 공방","84","1326","910","44","550","61","","","","",""
"workshop","냥이들의 대장간","button-yellow-normal-58","assets/placed/8c1f3d51f81272f582.png","assets/ui/button-yellow-normal.png","","45","1413","476","105","402","62","45","1413","476","105","forge-growth"
"workshop","냥이들의 대장간","forge-59","assets/placed/7e5b8b798e3ba43b17.png","assets/icons/forge.png","","171","1431","54","54","435","63","","","","",""
"workshop","냥이들의 대장간","label-60","assets/text/5ba46eebcfddeda33a.png","","대장간 성장","128","1434","378","52","434","64","","","","",""
"workshop","냥이들의 대장간","button-mint-normal-61","assets/placed/f0de1883ba0c79ce12.png","assets/ui/button-mint-normal.png","","547","1413","488","105","402","65","547","1413","488","105","smith-growth"
"workshop","냥이들의 대장간","cat-62","assets/placed/6835b6293964d2bd07.png","assets/icons/cat.png","","664","1429","54","54","437","66","","","","",""
"workshop","냥이들의 대장간","label-63","assets/text/47381ddb4d1b6968f7.png","","머지냥이 성장","632","1432","390","52","436","67","","","","",""
"workshop","냥이들의 대장간","button-yellow-normal-64","assets/placed/42fecfaa1e86d98bf6.png","assets/ui/button-yellow-normal.png","","45","1560","990","129","231","68","45","1560","990","129","modes"
"workshop","냥이들의 대장간","sword-65","assets/placed/6173136cdc88651b2d.png","assets/icons/sword.png","","428","1588","54","54","278","69","","","","",""
"workshop","냥이들의 대장간","label-66","assets/text/31419ddfe3471c54ab.png","","모험 떠나기","131","1591","892","52","277","70","","","","",""
"forge-growth","대장간 성장","background-1","assets/placed/f13521a79c0180a52b.png","assets/backgrounds/workshop.png","","0","0","1080","1920","0","0","","","","",""
"forge-growth","대장간 성장","resource-bar-3","assets/placed/67b2bb1183ebc40ed1.png","assets/ui/panel-cream.png","","30","28","1020","90","1802","1","","","","",""
"forge-growth","대장간 성장","title-bar-4","assets/placed/21cf35d5dcee417b8d.png","assets/ui/panel-cream.png","","30","128","1020","104","1688","2","","","","",""
"forge-growth","대장간 성장","icon-energy-5","assets/placed/9fa198e8f4245dbd0f.png","assets/icons/energy.png","","52","43","54","54","1823","3","","","","",""
"forge-growth","대장간 성장","text-6","assets/text/4f65a133e0ebec885a.png","","40/50","113","50","195","47","1823","4","","","","",""
"forge-growth","대장간 성장","icon-gold-7","assets/placed/0274a23a232ef47921.png","assets/icons/gold.png","","368","43","54","54","1823","5","","","","",""
"forge-growth","대장간 성장","text-8","assets/text/ed149040bb71721e2c.png","","12,500","429","50","195","47","1823","6","","","","",""
"forge-growth","대장간 성장","icon-gem-9","assets/placed/e238412bd856f270d9.png","assets/icons/gem.png","","684","43","54","54","1823","7","","","","",""
"forge-growth","대장간 성장","text-10","assets/text/b710de3b8f0ad3e447.png","","320","745","50","195","47","1823","8","","","","",""
"forge-growth","대장간 성장","button-11","assets/placed/a55e725f8d802af4a0.png","assets/ui/button-cream-normal.png","","38","138","76","76","1706","9","10","110","132","132","workshop"
"forge-growth","대장간 성장","icon-back-12","assets/placed/dc05be2a4b9c6fda0c.png","assets/icons/back.png","","48","141","56","56","1723","10","","","","",""
"forge-growth","대장간 성장","text-13","assets/text/800fac534161756e51.png","","대장간 성장","138","143","742","65","1712","11","","","","",""
"forge-growth","대장간 성장","button-14","assets/placed/a55e725f8d802af4a0.png","assets/ui/button-cream-normal.png","","958","138","76","76","1706","12","930","110","132","132","settings"
"forge-growth","대장간 성장","icon-gear-15","assets/placed/71b09a6dc991d6f600.png","assets/icons/gear.png","","968","141","56","56","1723","13","","","","",""
"forge-growth","대장간 성장","bottom-nav-16","assets/placed/8a8204f9fa1fc6115b.png","assets/ui/panel-cream.png","","24","1734","1032","160","26","14","","","","",""
"forge-growth","대장간 성장","active-tab-17","assets/placed/f669ab757bc5fc9425.png","assets/ui/panel-mint.png","","39","1744","190","135","41","15","","","","",""
"forge-growth","대장간 성장","nav-hit-18","","","","39","1743","190","139","38","16","39","1743","190","139","workshop"
"forge-growth","대장간 성장","icon-forge-19","assets/placed/12ef2fd983b0f617f0.png","assets/icons/forge.png","","105","1753","60","60","107","17","","","","",""
"forge-growth","대장간 성장","text-20","assets/text/0d36b2df9353d9a6a4.png","","대장간","44","1790","180","44","86","18","","","","",""
"forge-growth","대장간 성장","nav-hit-21","","","","243","1743","190","139","38","19","243","1743","190","139","cats"
"forge-growth","대장간 성장","icon-cat-22","assets/placed/75618a37a684a9366c.png","assets/icons/cat.png","","308","1753","60","60","107","20","","","","",""
"forge-growth","대장간 성장","text-23","assets/text/b2c2d20f3863ead9e4.png","","고양이","453","1792","180","44","84","21","","","","",""
"forge-growth","대장간 성장","nav-hit-24","","","","447","1743","190","139","38","22","447","1743","190","139","modes"
"forge-growth","대장간 성장","icon-sword-25","assets/placed/2f37f0487b559d4738.png","assets/icons/sword.png","","512","1753","60","60","107","23","","","","",""
"forge-growth","대장간 성장","text-26","assets/text/37a71f4045908e9a35.png","","전투","452","1792","180","44","84","24","","","","",""
"forge-growth","대장간 성장","nav-hit-27","","","","651","1743","190","139","38","25","651","1743","190","139","shop"
"forge-growth","대장간 성장","icon-shop-28","assets/placed/48f9aabd0f0ed93c20.png","assets/icons/shop.png","","716","1753","60","60","107","26","","","","",""
"forge-growth","대장간 성장","text-29","assets/text/e93cf34436b725b2bc.png","","상점","453","1792","180","44","84","27","","","","",""
"forge-growth","대장간 성장","nav-hit-30","","","","855","1743","190","139","38","28","855","1743","190","139","ranking"
"forge-growth","대장간 성장","icon-trophy-31","assets/placed/f021e42cfce953f174.png","assets/icons/trophy.png","","920","1753","60","60","107","29","","","","",""
"forge-growth","대장간 성장","text-32","assets/text/ae295d719fe151b0fc.png","","랭킹","453","1792","180","44","84","30","","","","",""
"forge-growth","대장간 성장","panel-33","assets/placed/4405b4a78e9acda39f.png","assets/ui/panel-cream.png","","48","260","984","148","1512","31","","","","",""
"forge-growth","대장간 성장","icon-forge-34","assets/placed/cc3109fb19ae684c0c.png","assets/icons/forge.png","","72","292","72","72","1556","32","","","","",""
"forge-growth","대장간 성장","text-35","assets/text/5e90feaef4644b1d3b.png","","생산 시작 단계","168","280","814","51","1589","33","","","","",""
"forge-growth","대장간 성장","text-36","assets/text/fb5d4877443e02d61d.png","","Lv.3 · 1단계 → 2단계","168","333","834","39","1548","34","","","","",""
"forge-growth","대장간 성장","row-hit-37","","","","48","260","984","148","1512","35","48","260","984","148","upgrade"
"forge-growth","대장간 성장","icon-back-38","assets/placed/75eff27796b699b40d.png","assets/icons/back.png","","972","309","34","34","1577","36","","","","",""
"forge-growth","대장간 성장","panel-39","assets/placed/4405b4a78e9acda39f.png","assets/ui/panel-cream.png","","48","430","984","148","1342","37","","","","",""
"forge-growth","대장간 성장","icon-plus-40","assets/placed/73c724dcc37a2cccca.png","assets/icons/plus.png","","72","462","72","72","1386","38","","","","",""
"forge-growth","대장간 성장","text-41","assets/text/211e57fb69bebc64bf.png","","보드 확장","168","450","814","51","1419","39","","","","",""
"forge-growth","대장간 성장","text-42","assets/text/b6c814091d7d0b4a07.png","","35칸 · 확장 단계 확인","168","503","834","39","1378","40","","","","",""
"forge-growth","대장간 성장","row-hit-43","","","","48","430","984","148","1342","41","48","430","984","148","upgrade"
"forge-growth","대장간 성장","icon-back-44","assets/placed/75eff27796b699b40d.png","assets/icons/back.png","","972","479","34","34","1407","42","","","","",""
"forge-growth","대장간 성장","panel-45","assets/placed/4405b4a78e9acda39f.png","assets/ui/panel-cream.png","","48","600","984","148","1172","43","","","","",""
"forge-growth","대장간 성장","icon-energy-46","assets/placed/21d7319266d98259e9.png","assets/icons/energy.png","","72","632","72","72","1216","44","","","","",""
"forge-growth","대장간 성장","text-47","assets/text/3cb1cb3d3b3e9793e9.png","","에너지 최대치","168","620","814","51","1249","45","","","","",""
"forge-growth","대장간 성장","text-48","assets/text/379868a81b527df16b.png","","50 → 55 · 골드 8,000","168","673","834","39","1208","46","","","","",""
"forge-growth","대장간 성장","row-hit-49","","","","48","600","984","148","1172","47","48","600","984","148","upgrade"
"forge-growth","대장간 성장","icon-back-50","assets/placed/75eff27796b699b40d.png","assets/icons/back.png","","972","649","34","34","1237","48","","","","",""
"forge-growth","대장간 성장","panel-51","assets/placed/4405b4a78e9acda39f.png","assets/ui/panel-cream.png","","48","770","984","148","1002","49","","","","",""
"forge-growth","대장간 성장","icon-clock-52","assets/placed/1d5f06daf7608e198d.png","assets/icons/clock.png","","72","802","72","72","1046","50","","","","",""
"forge-growth","대장간 성장","text-53","assets/text/87a4e7c2dc784d5bbf.png","","에너지 회복","168","790","814","51","1079","51","","","","",""
"forge-growth","대장간 성장","text-54","assets/text/9b8f414f29c4746340.png","","회복 속도 +5%","168","843","834","39","1038","52","","","","",""
"forge-growth","대장간 성장","row-hit-55","","","","48","770","984","148","1002","53","48","770","984","148","upgrade"
"forge-growth","대장간 성장","icon-back-56","assets/placed/75eff27796b699b40d.png","assets/icons/back.png","","972","819","34","34","1067","54","","","","",""
"forge-growth","대장간 성장","panel-57","assets/placed/4405b4a78e9acda39f.png","assets/ui/panel-cream.png","","48","940","984","148","832","55","","","","",""
"forge-growth","대장간 성장","icon-sword-58","assets/placed/4ed079920ced162053.png","assets/icons/sword.png","","72","972","72","72","876","56","","","","",""
"forge-growth","대장간 성장","text-59","assets/text/ba29e79f85ce989c35.png","","라인 확률 조정","168","960","814","51","909","57","","","","",""
"forge-growth","대장간 성장","text-60","assets/text/4d3503429b774d3408.png","","무기 35 · 방어구 30 · 소모품 25 · 특수 10","168","1013","834","39","868","58","","","","",""
"forge-growth","대장간 성장","row-hit-61","","","","48","940","984","148","832","59","48","940","984","148","line-rates"
"forge-growth","대장간 성장","icon-back-62","assets/placed/75eff27796b699b40d.png","assets/icons/back.png","","972","989","34","34","897","60","","","","",""
"forge-growth","대장간 성장","panel-63","assets/placed/4405b4a78e9acda39f.png","assets/ui/panel-cream.png","","48","1110","984","148","662","61","","","","",""
"forge-growth","대장간 성장","icon-lock-64","assets/placed/fd4fac1b73c4006ec6.png","assets/icons/lock.png","","72","1142","72","72","706","62","","","","",""
"forge-growth","대장간 성장","text-65","assets/text/81320660631eed365f.png","","자동 합성","168","1130","814","51","739","63","","","","",""
"forge-growth","대장간 성장","text-66","assets/text/f2f8c563853378e0aa.png","","공방 Lv.15에 해금","168","1183","834","39","698","64","","","","",""
"forge-growth","대장간 성장","row-hit-67","","","","48","1110","984","148","662","65","48","1110","984","148","upgrade"
"forge-growth","대장간 성장","icon-back-68","assets/placed/75eff27796b699b40d.png","assets/icons/back.png","","972","1159","34","34","727","66","","","","",""
"smith-growth","머지냥이 성장","background-1","assets/placed/f13521a79c0180a52b.png","assets/backgrounds/workshop.png","","0","0","1080","1920","0","0","","","","",""
"smith-growth","머지냥이 성장","resource-bar-3","assets/placed/67b2bb1183ebc40ed1.png","assets/ui/panel-cream.png","","30","28","1020","90","1802","1","","","","",""
"smith-growth","머지냥이 성장","title-bar-4","assets/placed/21cf35d5dcee417b8d.png","assets/ui/panel-cream.png","","30","128","1020","104","1688","2","","","","",""
"smith-growth","머지냥이 성장","icon-energy-5","assets/placed/9fa198e8f4245dbd0f.png","assets/icons/energy.png","","52","43","54","54","1823","3","","","","",""
"smith-growth","머지냥이 성장","text-6","assets/text/4f65a133e0ebec885a.png","","40/50","113","50","195","47","1823","4","","","","",""
"smith-growth","머지냥이 성장","icon-gold-7","assets/placed/0274a23a232ef47921.png","assets/icons/gold.png","","368","43","54","54","1823","5","","","","",""
"smith-growth","머지냥이 성장","text-8","assets/text/ed149040bb71721e2c.png","","12,500","429","50","195","47","1823","6","","","","",""
"smith-growth","머지냥이 성장","icon-gem-9","assets/placed/e238412bd856f270d9.png","assets/icons/gem.png","","684","43","54","54","1823","7","","","","",""
"smith-growth","머지냥이 성장","text-10","assets/text/b710de3b8f0ad3e447.png","","320","745","50","195","47","1823","8","","","","",""
"smith-growth","머지냥이 성장","button-11","assets/placed/a55e725f8d802af4a0.png","assets/ui/button-cream-normal.png","","38","138","76","76","1706","9","10","110","132","132","workshop"
"smith-growth","머지냥이 성장","icon-back-12","assets/placed/dc05be2a4b9c6fda0c.png","assets/icons/back.png","","48","141","56","56","1723","10","","","","",""
"smith-growth","머지냥이 성장","text-13","assets/text/522d0747d1f1928fc7.png","","머지냥이 성장","138","143","742","65","1712","11","","","","",""
"smith-growth","머지냥이 성장","button-14","assets/placed/a55e725f8d802af4a0.png","assets/ui/button-cream-normal.png","","958","138","76","76","1706","12","930","110","132","132","settings"
"smith-growth","머지냥이 성장","icon-gear-15","assets/placed/71b09a6dc991d6f600.png","assets/icons/gear.png","","968","141","56","56","1723","13","","","","",""
"smith-growth","머지냥이 성장","bottom-nav-16","assets/placed/8a8204f9fa1fc6115b.png","assets/ui/panel-cream.png","","24","1734","1032","160","26","14","","","","",""
